id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,2015-10-06T17:31:14.000Z,123.0,22.0,24.0,169.0,613.77,164.78,194.88,973.43
2,1001,2015-11-05T03:34:33.000Z,190.0,41.0,57.0,288.0,948.1,307.09,462.84,1718.03
3,1001,2015-12-04T04:21:55.000Z,85.0,47.0,NULL,132.0,424.15,352.03,0.0,776.18
4,1001,2016-01-02T01:18:24.000Z,144.0,32.0,NULL,176.0,718.56,239.68,0.0,958.24
5,1001,2016-02-01T19:27:27.000Z,108.0,29.0,28.0,165.0,538.92,217.21,227.36,983.49
6,1001,2016-03-02T15:29:32.000Z,103.0,24.0,46.0,173.0,513.97,179.76,373.52,1067.25
7,1001,2016-04-01T11:20:18.000Z,101.0,33.0,92.0,226.0,503.99,247.17,747.04,1498.2
8,1001,2016-05-01T15:55:51.000Z,95.0,47.0,151.0,293.0,474.05,352.03,1226.12,2052.2
9,1001,2016-05-31T21:22:48.000Z,91.0,16.0,22.0,129.0,454.09,119.84,178.64,752.57
10,1001,2016-06-30T12:32:05.000Z,94.0,46.0,8.0,148.0,469.06,344.54,64.96,878.56
11,1001,2016-07-30T03:26:30.000Z,101.0,36.0,NULL,137.0,503.99,269.64,0.0,773.63
12,1001,2016-08-28T07:13:39.000Z,124.0,33.0,39.0,196.0,618.76,247.17,316.68,1182.61
13,1001,2016-09-26T23:28:25.000Z,104.0,10.0,44.0,158.0,518.96,74.9,357.28,951.14
14,1001,2016-10-26T20:31:30.000Z,97.0,143.0,54.0,294.0,484.03,1071.07,438.48,1993.58
15,1001,2016-11-25T23:21:32.000Z,127.0,39.0,44.0,210.0,633.73,292.11,357.28,1283.12
16,1001,2016-12-24T05:53:13.000Z,123.0,127.0,19.0,269.0,613.77,951.23,154.28,1719.28
17,1011,2016-12-21T10:59:34.000Z,527.0,14.0,NULL,541.0,2629.73,104.86,0.0,2734.59
18,1021,2015-10-12T02:21:56.000Z,516.0,23.0,NULL,539.0,2574.84,172.27,0.0,2747.11
19,1021,2015-11-11T07:37:01.000Z,497.0,61.0,NULL,558.0,2480.03,456.89,0.0,2936.92
20,1021,2015-12-11T16:53:18.000Z,483.0,NULL,21.0,504.0,2410.17,0.0,170.52,2580.69
21,1021,2016-01-10T09:29:45.000Z,535.0,NULL,34.0,569.0,2669.65,0.0,276.08,2945.73
22,1021,2016-02-09T00:50:46.000Z,502.0,4.0,9.0,515.0,2504.98,29.96,73.08,2608.02
23,1021,2016-03-10T00:38:52.000Z,555.0,19.0,4.0,578.0,2769.45,142.31,32.48,2944.24
24,1031,2016-12-25T03:54:27.000Z,1148.0,NULL,215.0,1363.0,5728.52,0.0,1745.8,7474.32
25,1041,2016-10-14T23:54:21.000Z,298.0,28.0,69.0,395.0,1487.02,209.72,560.28,2257.02
26,1041,2016-11-13T10:11:52.000Z,307.0,22.0,NULL,329.0,1531.93,164.78,0.0,1696.71
27,1041,2016-12-12T07:50:01.000Z,157.0,34.0,21.0,212.0,783.43,254.66,170.52,1208.61
28,1051,2016-08-02T20:13:27.000Z,505.0,84.0,NULL,589.0,2519.95,629.16,0.0,3149.11
29,1051,2016-09-01T05:38:19.000Z,498.0,35.0,9.0,542.0,2485.02,262.15,73.08,2820.25
30,1051,2016-10-01T00:48:28.000Z,486.0,NULL,1.0,487.0,2425.14,0.0,8.12,2433.26
31,1051,2016-10-31T06:47:30.000Z,505.0,71.0,19.0,595.0,2519.95,531.79,154.28,3206.02
32,1051,2016-11-30T07:31:16.000Z,490.0,18.0,NULL,508.0,2445.1,134.82,0.0,2579.92
33,1051,2016-12-30T08:45:43.000Z,495.0,1.0,1.0,497.0,2470.05,7.49,8.12,2485.66
34,1061,2016-10-19T16:04:11.000Z,290.0,52.0,23.0,365.0,1447.1,389.48,186.76,2023.34
35,1061,2016-11-17T08:43:27.000Z,249.0,3.0,17.0,269.0,1242.51,22.47,138.04,1403.02
36,1061,2016-12-16T21:32:36.000Z,290.0,22.0,18.0,330.0,1447.1,164.78,146.16,1758.04
